"","TCGA.B0.5701.01A.11R.1541.07","TCGA.D3.A2JP.06A.11R.A18S.07","TCGA.D3.A3MV.06A.11R.A21D.07","TCGA.D3.A8GB.06A.11R.A37K.07","TCGA.DA.A3F2.06A.11R.A20F.07","TCGA.EB.A5KH.06A.11R.A27Q.07","TCGA.EB.A5SH.06A.11R.A311.07","TCGA.EB.A6QY.01A.12R.A32P.07","TCGA.EE.A2GS.06A.12R.A18S.07","TCGA.EE.A3JI.06A.11R.A21D.07","TCGA.ER.A19M.06A.61R.A239.07","TCGA.FR.A3YN.06A.11R.A239.07","TCGA.FR.A44A.06A.11R.A24X.07","TCGA.FR.A7U8.06A.21R.A352.07","TCGA.FW.A3R5.06A.11R.A239.07","TCGA.FW.A3TV.06A.11R.A239.07","TCGA.GF.A3OT.06A.23R.A239.07","TCGA.GN.A4U3.06A.11R.A32P.07","TCGA.GN.A4U4.06A.11R.A32P.07","TCGA.GN.A4U5.01A.11R.A32P.07","TCGA.GN.A4U9.06A.11R.A32P.07","TCGA.GN.A8LN.01A.11R.A37K.07","TCGA.HR.A2OH.06A.11R.A18U.07","TCGA.QB.AA9O.06A.11R.A39D.07","TCGA.W3.A825.06A.11R.A352.07","TCGA.W3.AA1Q.06A.11R.A38C.07","TCGA.W3.AA1R.06A.11R.A39D.07","TCGA.W3.AA1W.06A.11R.A38C.07","TCGA.WE.AAA0.06A.11R.A38C.07","TCGA.YG.AA3O.06A.11R.A38C.07"
"ENSG00000139329.5",306,6539,3196,17870,12065,554,313,6446,5007,2445,14650,3991,14582,959,11360,7041,32299,323,809,4146,1635,765,4913,1178,4923,5025,1234,2023,1769,7240
"ENSG00000140092.14",524,1500,364,10508,2955,1132,1689,274,362,451,2556,1114,485,750,582,8933,3994,107,716,1178,903,108,1349,5550,664,292,2315,275,222,586
"ENSG00000142156.15",7882,27878,49135,26696,251133,34705,17206,9666,33816,12746,29169,9908,28678,20537,30279,18737,811857,8654,12382,22832,5244,18911,17583,4230,92667,5517,2683,6793,20139,10076
"ENSG00000142173.16",18112,15007,33142,34220,221376,12594,14544,11784,26929,10035,33576,3760,26763,9047,27170,17490,596572,5201,5683,22621,6563,22710,18063,5845,120853,8865,4439,10821,10321,14410
"ENSG00000142449.13",5,6,8,3,1,310,2,0,13,5,0,1,3,8,0,13,0,4,11,1,1040,56,3,0,4316,0,1,1,2,0
"ENSG00000142798.20",24102,7523,13137,9009,21389,63934,67041,4859,21873,23154,11276,30763,24835,7387,11291,13361,15014,6525,16464,12335,4087,9850,15834,351,13634,8935,5225,10556,28584,16628
"ENSG00000143196.5",5,304,4,1133,763,97,197,84,195,46,667,49,571,34,193,3,138,2,206,233,5,28,172,100,130,19,11,62,55,99
"ENSG00000143546.10",231,437,148,712,137,22,5,84122,72,12,358,27,1130,54,73,50,547,327,71,82649,435,234,732,509,372,20,214,534,42,36
"ENSG00000144810.16",6945,165,3953,1694,1539,186,46,110,805,52,2571,350,950,260,1514,1325,1285,59,24,201,131,8636,149,53,1255,593,93,38,889,1540
"ENSG00000145423.5",2435,103,85,17255,16403,285,3,1072,1629,98,4034,180,128,174,6686,378,4141,4,32,1734,84,449,4,314,18924,1687,186,16,79,2906
"ENSG00000145536.15",30,239,31,78,293,18,109,10,340,57,150,14,99,46,105,20,724,6,1423,15,15,987,435,48,94,14,28,7,34,63
