"","TCGA-DA-A3F2-06A-11R-A20F-07","TCGA-EE-A2GS-06A-12R-A18S-07","TCGA-EE-A3JI-06A-11R-A21D-07","TCGA-FR-A3YN-06A-11R-A239-07","TCGA-GF-A3OT-06A-23R-A239-07","TCGA-GN-A4U4-06A-11R-A32P-07","TCGA-GN-A4U9-06A-11R-A32P-07","TCGA-GN-A8LK-06A-11R-A37K-07","TCGA-GN-A8LN-01A-11R-A37K-07","TCGA-QB-AA9O-06A-11R-A39D-07","TCGA-WE-A8K5-06A-11R-A37K-07","TCGA-WE-A8ZN-06A-11R-A37K-07","TCGA-WE-AAA0-06A-11R-A38C-07"
"ENSG00000161981.11",825,1944,919,1365,725,1032,1728,3593,1226,1489,1894,1453,1958
"ENSG00000161992.6",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000161996.19",273,1187,865,620,1070,1695,4212,1183,3358,732,1778,1073,1226
"ENSG00000161999.13",602,1864,589,927,775,967,493,526,1754,308,586,328,505
"ENSG00000162004.18",13,60,379,140,53,335,94,416,628,298,878,143,396
"ENSG00000162006.9",0,0,1,1,0,0,5,1,0,0,0,0,0
"ENSG00000162009.8",0,0,0,0,0,0,3,0,0,1,0,0,0
"ENSG00000162032.16",1,6,4,8,2,10,13,8,11,5,3,4,19
"ENSG00000162039.17",1,7,12,24,3,5,16,5,14,4,7,3,221
"ENSG00000162040.7",0,0,0,0,0,0,2,0,0,0,0,0,1
"ENSG00000162062.15",82,883,292,172,535,452,1714,1109,508,514,935,743,527
"ENSG00000162063.13",602,2164,1504,823,1639,1024,2070,1677,728,789,1980,752,1077
"ENSG00000162065.14",345,2496,1510,1961,697,1501,1084,1968,1677,699,1122,850,1642
"ENSG00000162066.16",1208,660,1412,928,632,1972,473,4609,1131,1288,1839,1388,2162
"ENSG00000162068.2",0,12,10,3,5,26,20,10,50,0,15,1,4
"ENSG00000162069.16",0,0,4,4,15,1,28,7,10,9,2,2,10
"ENSG00000162073.14",179,585,1175,631,307,892,427,1414,593,1106,1226,1242,883
"ENSG00000162076.13",606,1801,897,1188,1632,1021,1401,1921,1321,1366,1443,1023,1347
"ENSG00000162078.11",78,42,10,16,16,2,238,2,4,30,9,9,2
"ENSG00000162086.16",110,1237,760,856,564,385,2768,687,1279,522,784,212,821
"ENSG00000162104.10",898,2430,8097,3778,1532,7201,1058,3306,2075,346,1065,1331,2954
"ENSG00000162105.19",5,16,2,0,2,6,4,48,1,2,0,6,12
"ENSG00000162129.14",689,2389,3509,1173,1926,1653,873,2371,1362,1159,1229,1603,1737
"ENSG00000162139.10",386,1627,2929,1716,1473,1562,523,1473,1398,534,923,1340,1025
"ENSG00000162144.10",3388,1840,12189,2907,1403,9508,678,11395,1533,585,3499,4421,3465
"ENSG00000162148.11",29,47,102,11,15,43,45,15,93,20,104,284,47
"ENSG00000162174.12",105,341,313,1567,39,182,278,460,51,95,172,45,375
"ENSG00000162188.6",0,4,6,3,3,2,25,7,5,0,5,3,10
"ENSG00000162191.14",5451,9626,9185,3440,6651,8934,5371,7075,4275,4633,5323,4819,8751
"ENSG00000162194.12",27,113,384,108,70,246,106,35,132,47,79,27,196
"ENSG00000162222.14",353,1556,1973,878,1615,1728,759,1194,717,579,999,338,1008
"ENSG00000162227.8",375,878,1277,490,434,695,455,775,472,299,812,310,880
"ENSG00000162231.14",1722,7440,11907,5875,4313,5281,4126,4528,3690,1705,5188,2007,5704
"ENSG00000162236.13",2583,3491,2992,1633,3064,1805,1191,2411,1157,1255,1710,1062,2927
"ENSG00000162241.12",584,595,1160,379,95,794,172,112,634,228,1032,214,535
"ENSG00000162244.12",18773,36480,80982,22275,28041,64274,20971,30553,28296,21486,43435,43249,34262
"ENSG00000162267.12",42,10,10,41,6,91,51,2,198,2,804,13,94
"ENSG00000162298.19",6477,5763,7913,5164,3837,2819,3312,5315,5939,856,2484,2100,5956
"ENSG00000162300.13",64,184,221,94,155,213,80,383,204,80,183,143,379
"ENSG00000162302.13",3518,4791,3032,2690,5119,3319,1008,6610,3437,2115,3688,2168,5888
"ENSG00000162337.12",1173,4782,5157,228,256,2536,3883,712,4010,800,604,1127,755
"ENSG00000162341.18",350,535,1096,1328,550,2180,383,3046,788,107,798,756,2532
"ENSG00000162344.4",0,0,1,0,0,0,1,0,0,1,0,0,0
"ENSG00000162365.12",0,0,0,0,0,1,1,2,0,0,0,0,0
"ENSG00000162366.8",0,2,0,0,3,2,0,0,30,7,2,5,2
"ENSG00000162367.11",72,61,38,16,49,39,295,24,22,8,43,50,34
"ENSG00000162368.13",1003,5445,12995,12736,7079,4738,4021,3822,6783,1933,3979,1560,8787
"ENSG00000162373.13",52,367,408,534,12,352,900,265,394,10,10,60,391
"ENSG00000162374.18",0,117,5,96,8,3,168,8,32,2,7,4,107
"ENSG00000162377.6",222,2936,4858,3562,2739,2693,2073,1371,1954,778,957,452,3007
"ENSG00000162378.13",228,3842,5992,6856,2057,2675,2594,1244,2901,494,1718,341,2536
"ENSG00000162383.13",790,4,6,10,11,2,1,3,8,16,95,44,1
"ENSG00000162384.14",906,2751,1409,2841,1762,2023,1954,2115,1917,758,2389,1424,2496
"ENSG00000162385.11",359,1867,1607,2272,1513,1664,3995,2485,2110,923,1615,1126,2265
"ENSG00000162390.18",113,649,10,2440,374,515,306,341,172,36,19,46,22
"ENSG00000162391.12",8,28,2,137,26,52,28,6,27,4,2,1,65
"ENSG00000162396.6",193,656,834,998,259,671,297,706,533,179,328,205,556
"ENSG00000162398.11",2,1,0,10,1,0,0,0,0,0,0,0,0
"ENSG00000162399.9",0,2,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000162402.14",613,5756,12007,9180,4421,5406,3846,2387,4513,1057,2908,826,5748
"ENSG00000162407.9",922,3020,274,917,815,377,3126,336,573,715,635,391,477
"ENSG00000162408.11",540,2965,4001,4318,1575,2126,1766,1959,818,714,1424,480,1692
"ENSG00000162409.11",2,392,1,778,1,3,342,146,41,127,0,0,4
"ENSG00000162413.16",2305,5251,12539,25601,6510,7815,1033,9557,4789,3138,5996,3105,9608
"ENSG00000162415.7",7,441,944,1441,8,20,647,27,126,40,74,70,1325
"ENSG00000162419.13",529,1883,3194,1724,1241,1394,704,913,660,380,1178,449,2200
"ENSG00000162426.16",60,43,10,11,97,19,197,29,49,11,15,20,17
"ENSG00000162430.17",6280,12290,9798,18068,6844,9064,5048,6485,5162,5648,8676,5546,17986
"ENSG00000162433.15",43,414,26,769,1113,324,996,1677,473,439,93,1075,1781
"ENSG00000162434.13",7676,14740,21129,25632,14369,11562,5681,3234,7628,1498,5484,2678,10110
"ENSG00000162437.14",51,1728,9236,3624,72,4076,1995,459,1714,352,1381,227,2216
"ENSG00000162438.12",0,0,2,0,0,3,6,0,3,2,5,3,2
"ENSG00000162441.12",439,5362,8402,10194,3087,5193,3645,2678,1874,1259,1748,881,4721
"ENSG00000162444.12",181,326,195,141,63,3168,101,342,163,277,168,243,107
"ENSG00000162456.10",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000162458.13",2772,3756,3229,248,10251,2326,5149,2005,3212,2600,6226,732,520
"ENSG00000162460.7",0,2,5,0,0,0,1,0,3,0,19,0,0
"ENSG00000162461.8",33,21,94,396,47,32,48,112,120,20,105,128,298
"ENSG00000162482.5",2,47,18,14,11,15,85,357,28,7,27,22,46
"ENSG00000162490.7",39,66,8,54,139,15,205,8,74,12,67,116,21
"ENSG00000162493.16",2525,214,13,237,1831,67,653,3,170,153,713,284,348
"ENSG00000162494.6",4,0,0,1,487,0,0,63,0,0,0,0,0
"ENSG00000162496.9",6385,1484,1122,592,1055,2189,7786,120,1248,406,2273,734,6007
"ENSG00000162510.6",2,46,55,55,3,30,64,3,16,13,23,5,15
"ENSG00000162511.8",22601,3214,2915,4277,7190,1197,2093,253,2995,3803,3011,5171,4217
"ENSG00000162512.16",18728,24619,115510,237036,5729,34983,4923,39715,10410,18526,19429,76697,70198
"ENSG00000162517.13",2117,5758,4684,8182,3266,3846,2660,4705,2027,1685,2922,2384,7058
"ENSG00000162520.15",29,31,5,193,339,10,4,96,17,13,22,37,30
